"Age","Gender","Education_Level","Job_Title","Years_of_Experience","Salary","Country","Race","Senior"
"47.0","Male",2,"VP_of_Finance","19.0","200000.0","Australia","Asian",0
"29.0","Female",1,"Graphic_Designer","3.0","50000.0","Canada","Black",0
"36.0","Male",1,"Sales_Manager","9.0","95000.0","China","Korean",0
"27.0","Female",2,"UX_Researcher","2.0","65000.0","Canada","White",0
"43.0","Male",3,"Engineer","17.0","140000.0","USA","Hispanic",1
"30.0","Female",1,"Social_Media_Manager","4.0","55000.0","Canada","White",0
"35.0","Male",2,"Product_Manager","7.0","105000.0","Canada","Asian",0
"51.0","Female",2,"Director_of_Operations","23.0","170000.0","USA","African_American",0
"29.0","Male",1,"Marketing_Analyst","3.0","50000.0","China","Chinese",0
"40.0","Female",1,"HR_Manager","12.0","80000.0","China","Korean",0
"47.0","Male",3,"Data_Scientist","21.0","180000.0","China","White",0
"26.0","Male",1,"Accountant","1.0","35000.0","Australia","Australian",0
"38.0","Female",2,"Digital_Marketing_Manager","10.0","90000.0","China","Korean",0
"46.0","Male",1,"IT_Manager","19.0","120000.0","Australia","Australian",0
"31.0","Female",1,"Customer_Service_Representative","5.0","45000.0","Canada","Asian",0
"34.0","Male",2,"Business_Development_Manager","8.0","90000.0","Canada","Asian",0
"49.0","Female",2,"Financial_Analyst","18.0","150000.0","Canada","White",0
"33.0","Male",1,"Web_Developer","6.0","65000.0","USA","Hispanic",0
"39.0","Female",1,"Recruiter","11.0","70000.0","USA","Asian",0
"45.0","Male",3,"Research_Director","16.0","190000.0","UK","Mixed",0
"28.0","Male",1,"Technical_Support_Specialist","2.0","40000.0","China","Korean",0
"42.0","Female",2,"Creative_Director","14.0","120000.0","Canada","Black",0
"37.0","Male",1,"Project_Manager","10.0","95000.0","USA","Asian",0
"50.0","Female",1,"Operations_Manager","22.0","160000.0","USA","White",0
"32.0","Male",2,"Software_Engineer","6.0","100000.0","USA","African",0
"48.0","Female",2,"Human_Resources_Director","20.0","180000.0","Canada","Black",0
"30.0","Female",1,"Content_Marketing_Manager","3.0","55000.0","Australia","White",0
"36.0","Male",1,"Technical_Recruiter","8.0","70000.0","UK","Asian",0
"41.0","Female",2,"Data_Analyst","13.0","80000.0","USA","White",0
"25.0","Male",1,"Sales_Representative","0.0","30000.0","Australia","Asian",0
"52.0","Male",3,"Chief_Technology_Officer","24.0","250000.0","Canada","Black",0
"29.0","Female",1,"Designer","2.0","40000.0","Australia","Asian",0
"34.0","Female",2,"Financial_Advisor","10.0","95000.0","UK","White",0
"27.0","Male",1,"Account_Manager","2.0","45000.0","Canada","White",0
"40.0","Female",1,"HR_Generalist","15.0","80000.0","USA","Hispanic",0
"46.0","Male",2,"Project_Manager","21.0","135000.0","Canada","Asian",0
"31.0","Female",1,"Marketing_Coordinator","6.0","55000.0","Australia","Asian",0
"36.0","Male",3,"Principal_Scientist","11.0","120000.0","UK","Mixed",0
"29.0","Female",1,"Sales_Associate","3.0","40000.0","China","White",0
"43.0","Male",1,"Supply_Chain_Manager","18.0","105000.0","UK","Welsh",0
"52.0","Female",2,"Marketing_Manager","25.0","170000.0","China","Chinese",0
"33.0","Male",1,"Business_Analyst","7.0","75000.0","Australia","Australian",0
"39.0","Female",1,"Training_Specialist","12.0","65000.0","USA","African",0
"47.0","Male",3,"Research_Scientist","22.0","160000.0","Australia","Asian",0
"26.0","Male",1,"Software_Developer","1.0","35000.0","China","White",0
"38.0","Female",2,"Public_Relations_Manager","10.0","90000.0","UK","Asian",0
"45.0","Male",1,"Operations_Analyst","20.0","110000.0","China","Chinese",0
"31.0","Female",1,"Event_Coordinator","5.0","45000.0","Australia","Asian",0
"35.0","Male",2,"Product_Marketing_Manager","8.0","95000.0","China","White",0
"49.0","Female",2,"HR_Manager","19.0","150000.0","Australia","White",0
"33.0","Male",1,"Web_Developer","5.0","50000.0","Canada","Asian",0
"39.0","Female",2,"Project_Coordinator","13.0","80000.0","UK","Welsh",0
"44.0","Male",3,"Chief_Data_Officer","16.0","220000.0","USA","African_American",0
"30.0","Female",1,"Digital_Content_Producer","3.0","50000.0","UK","White",0
"36.0","Male",1,"IT_Support_Specialist","7.0","60000.0","USA","Asian",0
"41.0","Female",2,"Marketing_Analyst","14.0","100000.0","USA","White",0
"28.0","Male",1,"Customer_Success_Manager","2.0","40000.0","USA","Hispanic",0
"42.0","Female",2,"Graphic_Designer","15.0","110000.0","USA","Asian",0
"37.0","Male",1,"Software_Project_Manager","9.0","95000.0","UK","White",0
"50.0","Female",1,"Supply_Chain_Analyst","22.0","130000.0","UK","Welsh",0
"32.0","Male",2,"Business_Analyst","6.0","90000.0","USA","Asian",0
"23.0","Female",1,"Marketing_Analyst","0.5","35000.0","USA","White",0
"31.0","Male",2,"Financial_Analyst","6.0","95000.0","Australia","Asian",0
"40.0","Female",1,"Office_Manager","15.0","65000.0","USA","White",0
"48.0","Male",3,"Principal_Engineer","20.0","170000.0","USA","Hispanic",0
"29.0","Female",1,"HR_Generalist","3.0","45000.0","Australia","Australian",0
"35.0","Male",2,"Product_Manager","10.0","120000.0","Canada","White",0
"42.0","Female",1,"Sales_Manager","17.0","100000.0","China","Korean",0
"53.0","Male",2,"Director_of_Marketing","25.0","180000.0","UK","Mixed",0
"33.0","Female",1,"Operations_Analyst","5.0","50000.0","Australia","Australian",0
"38.0","Male",1,"Customer_Service_Manager","11.0","80000.0","China","White",0
"44.0","Female",3,"Scientist","16.0","140000.0","UK","Mixed",1
"26.0","Male",1,"Accountant","2.0","40000.0","UK","White",0
"37.0","Female",2,"HR_Generalist","9.0","95000.0","USA","African",0
"45.0","Male",1,"Sales_Operations_Manager","18.0","110000.0","UK","White",0
"32.0","Female",1,"Marketing_Coordinator","4.0","50000.0","USA","White",0
"34.0","Male",2,"Software_Developer","8.0","105000.0","Canada","White",0
"50.0","Female",2,"Director_of_Operations","21.0","160000.0","UK","White",0
"29.0","Male",1,"Web_Designer","3.0","45000.0","China","White",0
"40.0","Female",2,"Training_Specialist","12.0","100000.0","Canada","Black",0
"47.0","Male",3,"Research_Scientist","22.0","160000.0","USA","Hispanic",0
"27.0","Male",1,"Sales_Representative","1.0","35000.0","UK","Mixed",0
"39.0","Female",1,"Administrative_Assistant","10.0","55000.0","Canada","Black",0
"46.0","Male",2,"Project_Manager","19.0","140000.0","Canada","Black",0
"30.0","Female",1,"Marketing_Manager","4.0","50000.0","Canada","White",0
"36.0","Male",1,"Data_Analyst","7.0","60000.0","Australia","Asian",0
"43.0","Female",2,"Product_Marketing_Manager","14.0","120000.0","Australia","White",1
"28.0","Male",1,"Business_Analyst","2.0","40000.0","USA","White",0
"41.0","Female",2,"Marketing_Manager","13.0","110000.0","Australia","Australian",0
"33.0","Male",1,"Software_Developer","5.0","50000.0","USA","Hispanic",0
"47.0","Male",1,"Sales_Manager","20.0","135000.0","China","White",0
"25.0","Female",2,"Marketing_Specialist","1.5","40000.0","Australia","Asian",0
"34.0","Male",1,"Business_Analyst","8.0","90000.0","Australia","Asian",0
"42.0","Female",3,"Data_Scientist","16.0","150000.0","China","Chinese",0
"31.0","Male",1,"Project_Manager","4.0","60000.0","UK","Welsh",0
"38.0","Female",1,"Accountant","10.0","80000.0","USA","African_American",0
"45.0","Male",2,"Director_of_Sales","19.0","175000.0","Canada","Black",0
"29.0","Female",1,"Recruiter","3.0","45000.0","Australia","Australian",0
"36.0","Male",2,"Business_Development_Manager","11.0","120000.0","Canada","Black",1
"43.0","Female",3,"Product_Designer","18.0","140000.0","Australia","Asian",0
"26.0","Male",1,"Customer_Support_Specialist","2.0","35000.0","USA","Asian",0
"37.0","Female",2,"Marketing_Analyst","9.0","95000.0","Canada","White",0
"44.0","Male",1,"IT_Support_Specialist","14.0","110000.0","USA","African_American",0
"32.0","Female",1,"Financial_Analyst","5.0","50000.0","USA","Asian",0
"33.0","Male",2,"Operations_Manager","7.0","115000.0","China","Korean",0
"51.0","Female",3,"Director_of_Human_Resources","23.0","185000.0","China","Chinese",0
"28.0","Male",1,"Software_Engineer","2.0","40000.0","Australia","White",0
"39.0","Female",1,"Sales_Representative","12.0","90000.0","USA","Asian",0
"48.0","Male",2,"Director_of_Product_Management","21.0","175000.0","USA","Asian",0
"30.0","Female",1,"Copywriter","3.0","45000.0","UK","Mixed",0
"35.0","Male",1,"Marketing_Coordinator","7.0","80000.0","China","White",0
"41.0","Female",2,"Human_Resources_Manager","13.0","120000.0","China","Korean",1
"27.0","Male",1,"Business_Development_Associate","1.5","35000.0","China","White",0
"40.0","Female",1,"Account_Manager","14.0","110000.0","Australia","Australian",0
"46.0","Male",3,"Researcher","18.0","150000.0","Canada","Black",1
"31.0","Female",1,"HR_Coordinator","4.0","50000.0","China","Korean",0
"34.0","Male",2,"Software_Engineer","9.0","105000.0","China","Korean",0
"50.0","Female",2,"Director_of_Finance","20.0","180000.0","Australia","Australian",0
"29.0","Male",1,"Marketing_Coordinator","2.0","40000.0","Canada","Asian",0
"43.0","Male",1,"Project_Manager","16.0","140000.0","UK","White",0
"26.0","Female",2,"Data_Scientist","1.5","45000.0","Canada","Asian",0
"35.0","Male",1,"Operations_Analyst","7.0","85000.0","China","White",0
"42.0","Female",3,"Marketing_Manager","18.0","140000.0","UK","Asian",0
"31.0","Male",1,"Accountant","4.0","50000.0","UK","Welsh",0
"38.0","Female",1,"Human_Resources_Coordinator","10.0","80000.0","UK","Asian",1
"46.0","Male",2,"Director_of_Operations","20.0","170000.0","USA","Asian",0
"29.0","Female",1,"Sales_Representative","2.0","40000.0","UK","Welsh",0
"37.0","Male",2,"Business_Analyst","9.0","105000.0","China","Chinese",0
"44.0","Female",3,"UX_Designer","15.0","145000.0","USA","Hispanic",0
"27.0","Male",1,"Product_Manager","2.0","40000.0","USA","Hispanic",0
"36.0","Female",1,"Marketing_Specialist","8.0","85000.0","USA","African",0
"43.0","Male",1,"IT_Project_Manager","14.0","130000.0","China","Chinese",1
"33.0","Female",2,"Financial_Analyst","6.0","95000.0","Canada","White",0
"34.0","Male",1,"Quality_Assurance_Analyst","9.0","100000.0","UK","Mixed",1
"50.0","Female",3,"Director_of_Sales_and_Marketing","22.0","180000.0","China","chinese",0
"28.0","Male",1,"Operations_Analyst","1.5","35000.0","UK","Welsh",0
"39.0","Female",1,"Account_Executive","12.0","95000.0","USA","African",0
"47.0","Male",2,"Director_of_Business_Development","19.0","170000.0","Australia","Asian",0
"30.0","Female",1,"Social_Media_Manager","3.0","45000.0","Australia","Australian",0
"34.0","Male",1,"Product_Manager","7.0","95000.0","China","Chinese",0
"40.0","Female",2,"Human_Resources_Specialist","13.0","120000.0","UK","Welsh",1
"28.0","Male",1,"Business_Analyst","2.0","40000.0","USA","African",0
"41.0","Female",1,"Marketing_Coordinator","11.0","90000.0","Canada","Asian",0
"45.0","Male",3,"Data_Analyst","17.0","155000.0","UK","Asian",0
"32.0","Female",1,"Account_Manager","5.0","55000.0","Australia","Asian",0
"35.0","Male",2,"Software_Developer","9.0","110000.0","Canada","Asian",0
"49.0","Female",2,"Director_of_Human_Capital","21.0","180000.0","UK","Mixed",0
"30.0","Male",1,"Advertising_Coordinator","3.0","45000.0","UK","White",0
"44.0","Male",1,"Sales_Manager","16.0","130000.0","USA","Asian",0
"27.0","Female",2,"UX_Designer","1.5","45000.0","USA","Hispanic",0
"36.0","Male",1,"Accountant","7.0","90000.0","Canada","White",1
"41.0","Female",3,"Marketing_Director","17.0","160000.0","UK","Mixed",0
"31.0","Male",1,"HR_Generalist","4.0","50000.0","China","Chinese",0
"39.0","Female",1,"Operations_Manager","10.0","120000.0","Australia","Asian",0
"47.0","Male",2,"Director_of_Finance","20.0","170000.0","Australia","Australian",0
"30.0","Female",1,"Marketing_Coordinator","2.0","40000.0","China","Korean",0
"38.0","Male",2,"IT_Consultant","9.0","110000.0","China","White",0
"45.0","Female",3,"Product_Designer","15.0","150000.0","China","Chinese",0
"28.0","Male",1,"Business_Development_Associate","2.0","40000.0","USA","Asian",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","USA","White",0
"44.0","Male",1,"Software_Engineer","14.0","130000.0","China","Chinese",0
"34.0","Female",2,"Financial_Advisor","6.0","100000.0","UK","Welsh",0
"35.0","Male",1,"Project_Coordinator","9.0","95000.0","Canada","White",0
"50.0","Female",3,"Director_of_Operations","22.0","180000.0","Australia","Australian",0
"29.0","Male",1,"Business_Operations_Analyst","1.5","35000.0","UK","Asian",0
"40.0","Female",1,"Sales_Representative","12.0","100000.0","China","Chinese",0
"48.0","Male",2,"Director_of_Marketing","19.0","170000.0","USA","Hispanic",0
"31.0","Female",1,"Social_Media_Specialist","3.0","45000.0","UK","Welsh",0
"33.0","Male",1,"Product_Development_Manager","7.0","100000.0","USA","Hispanic",1
"42.0","Female",2,"Human_Resources_Manager","13.0","140000.0","China","White",1
"28.0","Male",1,"Financial_Analyst","2.0","40000.0","Australia","Australian",0
"40.0","Female",1,"Marketing_Manager","11.0","105000.0","UK","White",0
"46.0","Male",3,"Data_Scientist","18.0","160000.0","Canada","White",0
"33.0","Female",1,"Operations_Manager","5.0","70000.0","Australia","Asian",0
"37.0","Male",2,"Software_Architect","9.0","120000.0","Australia","Australian",0
"51.0","Female",2,"Director_of_Human_Resources","21.0","190000.0","USA","Hispanic",0
"30.0","Male",1,"Marketing_Specialist","3.0","45000.0","Canada","Black",0
"43.0","Male",1,"Project_Manager","15.0","120000.0","Canada","Asian",0
"27.0","Female",2,"Research_Scientist","1.5","50000.0","China","White",0
"35.0","Male",1,"Operations_Analyst","8.0","85000.0","Canada","White",0
"42.0","Female",3,"Marketing_Manager","13.0","140000.0","Canada","White",0
"32.0","Male",1,"Sales_Representative","3.0","45000.0","Australia","White",0
"37.0","Female",1,"Financial_Analyst","9.0","100000.0","UK","Welsh",0
"45.0","Male",2,"Software_Developer","16.0","140000.0","Australia","Asian",0
"33.0","Female",1,"Operations_Analyst","5.0","70000.0","Canada","Asian",0
"39.0","Male",1,"Marketing_Specialist","10.0","120000.0","Canada","Black",0
"44.0","Female",3,"HR_Manager","18.0","160000.0","Canada","White",0
"29.0","Male",1,"Business_Analyst","1.5","40000.0","Australia","Australian",0
"38.0","Female",1,"Product_Manager","10.0","120000.0","China","Korean",0
"46.0","Male",3,"Data_Analyst","19.0","150000.0","UK","Asian",0
"34.0","Female",1,"Marketing_Analyst","6.0","70000.0","USA","Asian",0
"36.0","Male",1,"Operations_Manager","8.0","95000.0","USA","White",0
"49.0","Female",2,"Director_of_Marketing","21.0","180000.0","Canada","White",0
"31.0","Male",1,"Financial_Analyst","3.0","50000.0","Canada","Black",0
"41.0","Female",1,"Project_Coordinator","11.0","95000.0","USA","African",0
"47.0","Male",2,"Director_of_Operations","20.0","170000.0","Canada","White",0
"30.0","Female",1,"Marketing_Coordinator","2.0","40000.0","USA","White",0
"38.0","Male",2,"IT_Consultant","9.0","110000.0","Australia","Australian",0
"45.0","Female",3,"Product_Designer","15.0","150000.0","China","Korean",0
"28.0","Male",1,"Business_Development_Associate","2.0","40000.0","USA","Asian",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","Canada","White",0
"44.0","Male",1,"Software_Engineer","14.0","130000.0","Australia","Australian",0
"34.0","Female",2,"Financial_Advisor","6.0","100000.0","Australia","Australian",0
"35.0","Male",1,"Project_Coordinator","9.0","95000.0","UK","Asian",0
"50.0","Female",3,"Director_of_Operations","22.0","180000.0","Australia","White",0
"29.0","Male",1,"Business_Operations_Analyst","1.5","350.0","USA","Hispanic",0
"37.0","Female",1,"Financial_Manager","10.0","120000.0","USA","African",0
"46.0","Male",3,"Data_Scientist","18.0","160000.0","China","Chinese",0
"31.0","Female",1,"Marketing_Coordinator","3.0","50000.0","Australia","White",0
"42.0","Male",1,"Operations_Manager","12.0","110000.0","Canada","Black",0
"29.0","Female",1,"Sales_Representative","1.5","40000.0","USA","African",0
"36.0","Male",1,"Marketing_Specialist","8.0","95000.0","UK","White",0
"44.0","Female",2,"HR_Specialist","15.0","140000.0","China","Chinese",0
"33.0","Male",1,"Operations_Manager","4.0","60000.0","China","Korean",0
"39.0","Female",1,"Marketing_Coordinator","9.0","110000.0","China","White",0
"45.0","Male",3,"Data_Engineer","16.0","150000.0","Australia","Asian",0
"32.0","Female",1,"Marketing_Manager","4.0","60000.0","UK","Welsh",0
"37.0","Male",1,"Financial_Analyst","8.0","90000.0","Australia","Australian",0
"47.0","Female",2,"Director_of_Marketing","20.0","180000.0","UK","Mixed",0
"30.0","Male",1,"Business_Analyst","2.0","40000.0","Australia","Australian",0
"38.0","Female",1,"Project_Manager","9.0","120000.0","UK","Asian",0
"46.0","Male",3,"Data_Analyst","17.0","160000.0","UK","Asian",0
"34.0","Female",1,"Financial_Analyst","5.0","70000.0","UK","Mixed",0
"36.0","Male",1,"Product_Manager","8.0","95000.0","Australia","Asian",0
"49.0","Female",2,"Director_of_Operations","21.0","180000.0","UK","Mixed",0
"31.0","Male",1,"Operations_Analyst","3.0","50000.0","USA","Hispanic",0
"41.0","Female",1,"Project_Coordinator","11.0","95000.0","Canada","Black",0
"47.0","Male",2,"Director_of_Marketing","19.0","170000.0","Canada","White",0
"29.0","Female",1,"Business_Development_Associate","1.5","35000.0","Australia","White",0
"35.0","Male",1,"Financial_Manager","9.0","100000.0","Canada","White",0
"44.0","Female",3,"Product_Designer","15.0","150000.0","China","White",0
"33.0","Male",1,"Business_Analyst","4.0","60000.0","Canada","Black",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","China","Chinese",0
"44.0","Male",1,"Software_Engineer","13.0","130000.0","Canada","White",0
"32.0","Male",1,"Product_Manager","4.0","65000.0","China","Chinese",0
"38.0","Female",1,"Business_Analyst","10.0","110000.0","Australia","Asian",0
"49.0","Male",3,"Director_of_Operations","21.0","180000.0","USA","Asian",0
"29.0","Female",1,"Marketing_Specialist","2.0","40000.0","Australia","Australian",0
"35.0","Male",1,"Business_Development_Manager","7.0","90000.0","USA","Hispanic",1
"45.0","Female",2,"HR_Manager","14.0","140000.0","UK","Welsh",0
"33.0","Male",1,"Financial_Analyst","4.0","60000.0","China","Korean",0
"40.0","Female",1,"Marketing_Manager","12.0","130000.0","Australia","Asian",0
"44.0","Male",3,"Data_Scientist","16.0","160000.0","Australia","Asian",0
"30.0","Female",1,"Operations_Coordinator","2.0","40000.0","Australia","White",0
"37.0","Male",1,"Marketing_Analyst","9.0","100000.0","UK","Mixed",0
"48.0","Female",2,"Director_of_HR","20.0","180000.0","USA","Hispanic",0
"31.0","Male",1,"Project_Manager","3.0","55000.0","Canada","Black",0
"38.0","Female",1,"Operations_Coordinator","9.0","120000.0","Canada","Asian",0
"45.0","Male",3,"Data_Engineer","16.0","150000.0","Canada","Black",0
"33.0","Female",1,"Marketing_Manager","5.0","70000.0","UK","Mixed",0
"36.0","Male",1,"Business_Analyst","8.0","95000.0","China","Chinese",0
"49.0","Female",2,"Director_of_Marketing","21.0","180000.0","China","White",0
"31.0","Male",1,"Operations_Analyst","3.0","50000.0","Canada","Black",0
"42.0","Female",1,"Project_Manager","12.0","120000.0","Australia","White",0
"47.0","Male",2,"Director_of_Marketing","19.0","170000.0","UK","White",0
"29.0","Female",1,"Business_Development_Associate","1.5","35000.0","Australia","White",0
"35.0","Male",1,"Financial_Manager","9.0","100000.0","Australia","Asian",0
"44.0","Female",3,"Product_Designer","15.0","150000.0","Australia","Asian",0
"33.0","Male",1,"Business_Analyst","4.0","60000.0","UK","White",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","Canada","Black",0
"44.0","Male",1,"Software_Engineer","13.0","130000.0","Australia","White",0
"34.0","Female",2,"Financial_Advisor","6.0","80000.0","Canada","White",0
"36.0","Male",1,"Marketing_Specialist","8.0","95000.0","Canada","White",0
"30.0","Female",1,"HR_Coordinator","2.0","40000.0","UK","Welsh",0
"37.0","Male",1,"Business_Development_Manager","10.0","120000.0","China","Chinese",1
"45.0","Female",2,"Marketing_Manager","16.0","160000.0","Canada","Black",0
"32.0","Male",1,"Financial_Advisor","4.0","65000.0","USA","Hispanic",0
"39.0","Female",1,"Project_Manager","12.0","130000.0","Canada","White",0
"47.0","Male",3,"Director_of_Engineering","20.0","180000.0","China","White",0
"29.0","Female",1,"Marketing_Analyst","2.0","40000.0","Australia","Australian",0
"36.0","Male",1,"Operations_Manager","9.0","100000.0","UK","Asian",0
"43.0","Female",3,"Data_Scientist","15.0","150000.0","USA","African",0
"32.0","Male",1,"Marketing_Coordinator","3.0","55000.0","Canada","White",0
"38.0","Female",1,"Business_Analyst","10.0","110000.0","China","White",0
"48.0","Male",2,"Director_of_Marketing","21.0","180000.0","China","Chinese",0
"31.0","Female",1,"Business_Development_Associate","3.0","50000.0","China","Korean",0
"40.0","Male",1,"Financial_Analyst","12.0","130000.0","Australia","White",0
"45.0","Female",3,"UX_Designer","16.0","160000.0","Australia","Asian",0
"33.0","Male",1,"Product_Manager","4.0","60000.0","Canada","Asian",0
"36.0","Female",1,"Marketing_Manager","8.0","95000.0","China","Korean",0
"47.0","Male",2,"Director_of_Operations","19.0","170000.0","China","Chinese",0
"29.0","Female",1,"Project_Manager","2.0","40000.0","UK","Mixed",0
"34.0","Male",1,"Operations_Coordinator","7.0","90000.0","UK","Asian",0
"44.0","Female",3,"Business_Analyst","15.0","150000.0","UK","White",0
"33.0","Male",1,"Marketing_Specialist","5.0","70000.0","UK","Welsh",0
"35.0","Female",1,"Financial_Manager","8.0","90000.0","Australia","White",0
"43.0","Male",2,"Director_of_Marketing","18.0","170000.0","China","Korean",0
"31.0","Female",1,"Financial_Analyst","3.0","50000.0","UK","Asian",0
"41.0","Male",1,"Product_Manager","14.0","150000.0","Canada","White",0
"44.0","Female",3,"Data_Engineer","16.0","160000.0","Canada","Asian",0
"33.0","Male",1,"Business_Analyst","4.0","60000.0","Canada","Black",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","Canada","Asian",0
"45.0","Male",2,"Director_of_Engineering","19.0","180000.0","China","Chinese",0
"28.0","Female",1,"Operations_Manager","1.0","35000.0","Canada","Asian",0
"36.0","Male",1,"Business_Development_Manager","8.0","110000.0","USA","Asian",1
"44.0","Female",3,"Data_Scientist","16.0","160000.0","China","Chinese",0
"31.0","Male",1,"Marketing_Coordinator","3.0","55000.0","Canada","Black",0
"38.0","Female",1,"Business_Analyst","10.0","110000.0","Canada","Black",0
"48.0","Male",2,"Director_of_Marketing","21.0","180000.0","Canada","Asian",0
"31.0","Female",1,"Business_Development_Associate","3.0","50000.0","Canada","Black",0
"40.0","Male",1,"Financial_Analyst","12.0","130000.0","USA","White",0
"45.0","Female",3,"UX_Designer","16.0","160000.0","UK","Asian",0
"33.0","Male",1,"Product_Manager","4.0","60000.0","Canada","White",0
"36.0","Female",1,"Marketing_Manager","8.0","95000.0","UK","Welsh",0
"47.0","Male",2,"Director_of_Operations","19.0","170000.0","UK","Welsh",0
"29.0","Female",1,"Project_Manager","2.0","40000.0","Australia","Australian",0
"34.0","Male",1,"Operations_Coordinator","7.0","90000.0","China","Chinese",0
"44.0","Female",3,"Business_Analyst","15.0","150000.0","UK","Welsh",0
"33.0","Male",1,"Marketing_Specialist","5.0","70000.0","Canada","White",0
"35.0","Female",1,"Financial_Manager","8.0","90000.0","China","Chinese",0
"43.0","Male",2,"Director_of_Marketing","18.0","170000.0","Canada","Asian",0
"31.0","Female",1,"Financial_Analyst","3.0","50000.0","Canada","Black",0
"41.0","Male",1,"Product_Manager","14.0","150000.0","China","Chinese",0
"44.0","Female",3,"Data_Engineer","16.0","160000.0","Australia","White",0
"33.0","Male",1,"Business_Analyst","4.0","60000.0","UK","Welsh",0
"35.0","Female",1,"Marketing_Analyst","8.0","85000.0","China","White",0
"43.0","Male",2,"Director_of_Operations","19.0","170000.0","China","White",0
"29.0","Female",1,"Project_Manager","2.0","40000.0","USA","Asian",0
